name,x,y
Anarchism,0.262346,-8.42901
Authoritarisnism,0.375,5.97917
Capitalism,7.07562,-0.333333
Communitarianism,1,3
Communism,-7.81944,4.61806
Conservatism,5.23438,3.09201
Corporatism,2.75278,4.46944
Democracy,0.5,-4.5
Environmentalism,-5.83333,-2.70833
Fascism,3.7328,8.71429
Liberalism,2.4158,-0.432292
Libertarianism,4.09314,-4.9281
Nationalism,2.54167,6.29167
Populism,4,-8
Progressivism,-1.39141,-1.03283
Social Democracy,-3.26243,-0.961257
Socialism,-6.09936,2.91453
Syndicalism,-5.77083,-4.21065
Transhumanism,2.05556,-1.75