name,x,y
Absolute Monarchy,8.72569,8.53819
Accelerationism,-5.01984,-3.50198
Activism,0,-4
Agorism,2.27885,-8.59722
Agrarianism,-5.63889,1.41667
Agrarian Socialism,-7.70833,4.375
Alt-Lite,5,0.625
Alt-Right,8.75,4.6875
American School,8.125,4.375
Amish,-4.444,-8.889
Anarcha-Feminism,-6.45833,-8.95833
Anarchism,0.262346,-8.42901
Anarchism and Religion,-2.18364,-6.24228
Anarchism Without Adjectives,-4.375,-9.375
Anarchist Communism,-8.81439,-8.22348
Anarchist Synthesis,0.625,-9.375
Anarcho-Capitalism,8.41733,-8.51667
Anarcho-Pacifism,-2.25,-8.375
Anarcho-Primitivism,-1.39028,-9.81528
Anarcho-Syndicalism,-6.13258,-8.84722
Anarchy,-4,8.16667
Anti-Authoritarianism,-3.51389,-5.95833
Anti-Capitalism,-6.875,0
Anti-Communism,8.33333,-1.25
Antifa,-1.875,-6.875
Anti-Revisionism,-8.98413,7.39881
Anti-Stalinist Left,-5.625,0.625
Anti-Statism,3.125,-6.875
Apoliticism,-0.208333,0.208333
Arab Socialism,-3.75,7.29167
Aristocracy,4.89583,5.72917
Athenian Democracy,3.35069,-1.96181
Austrian School,7.70833,-6.31944
Austromarxism,-5.20833,1.875
Autarchism,4.16667,-9.375
Authoritarian Capitalism,8.08025,7.68056
Authoritarianism,0.375,5.97917
Authoritarian Socialism,-8.333,8.333
Autonomist Marxism,-5.625,-5.625
Ba’athism,-2.53283,7.54167
Barracks Communism,-8.125,8.125
Black Nationalism,-5.625,4.375
Blanquism,-8.85417,3.02083
Bolshevism,-8.125,3.125
Bourgeois Socialism,-2.03125,7.8125
Brazilian Integralism,1.875,8.125
British Fascism,3.125,9.375
Business Nationalism,8.3912,7.65046
Cameralism,6.875,5.625
Cantonal Rebellion,-1.875,-4.375
Capitalism,7.07562,-0.333333
Centrism,0,0
Chavismo,-5.61458,5.67708
Christian Anarchism,-1.66667,-7.29167
Christian Democracy,-1.12963,1.8858
Christian Libertarianism,7.5,-6.4
Civic Conservatism,2.222,4.444
Civic Nationalism,6.70833,0.75
Civil Libertarianism,2.91667,-5.83333
Classical Liberalism,5.76389,-2.36581
Classical Marxism,-9.07341,-3.13492
Classical Radicalism,1,-2.45833
Clerical Fascism,0.625,8.125
Collectivism,-6.95139,0.585069
Collectivist Anarchism,-5.37879,-8.29419
Colonialism,9.00463,6.06481
Communalism,-10.706,0.416667
Communism,-7.81944,4.61806
Communitarianism,1,3
Community Unionism,-6.125,-0.5625
Compassionate Conservatism,2.70833,2.91667
Confederation,2.08333,-0.208333
Consensus Decision-Making,-8.889,4.444
Consequentialism,3.73148,-7.26389
Consequentialist Libertarianism,7.5,-6.25
Conservatism,5.23438,3.09201
Conservative Christianity,4.375,1.25
Conservative Liberalism,5.75,0.95
Conservative Socialism,-5.75,3.625
Constitutionalism,5,-0.625
Constitutional Monarchy,4.64506,4.45988
Constitutional Patriotism,3.125,0.625
Contemporary Anarchism,-3.625,-9.625
Cooperative Federalism,-0.625,-1.875
Corporate Liberalism,3.125,6.25
Corporatism,2.75278,4.46944
Corporatocracy,7.10938,6.11111
Council Communism,-9.20988,-4.19907
Crony Capitalism,9.375,8.125
Crypto-Anarchy,3.75,-8.75
Cultural Conservatism,5.625,2.5625
Cultural Liberalism,1.875,-1.875
Cyberocracy,0.833333,4.79167
Death Deities,2.8125,10.625
Dark Enlightenment,10.25,-1.625
Deep Ecology,-4.375,-0.416667
Defective Democracy,0,1.667
De Leonism,-8.59375,-3.59375
Democracy,0.5,-4.5
Democratic Capitalism,7.5,2.5
Democratic Confederalism,-6.03125,-4.39062
Democratic Party,-2.222,0
Democratic Republic,0,-5
Democratic Socialism,-5.84785,-0.926768
Deng Xiaoping Theory,-1.86343,4.43287
Despotism,0,8
Dictatorship,0,3.75
Direct Democracy,0,-3.75
Distributism,-2.93171,1.4919
Dual Federalism,0.625,-1.875
Eco-Capitalism,3.75,-5.9375
Ecofascism,-1.90833,6.53611
Economic Liberalism,8.4375,-1.25
Economic Militarism,6.25,8.125
Economic Nationalism,2.5,3.75
Economic Patriotism,3.125,3.125
Eco-Socialism,-6.63333,-3.76389
Eduard Bernstein,-6.875,-3.4375
Egalitarianism,-8,3
Egoist Anarchism,1.62247,-9.98864
Elective Monarchy,4.49653,4.44792
Emperor-System Fascism,6.875,9.375
Empire,0,7
Environmentalism,-5.83333,-2.70833
Esoteric Neo-Nazism,3.625,9.25
Ethical Socialism,-3,-5
Eurocommunism,-6.875,-0.625
Fabian Society,-8.125,-3.75
Falangism,0.798611,8.35648
Far-Right,8.5,8.5
Fascism,3.7328,8.71429
Federalism,3,-3
Federal Republic,3.5,3.5
Feudalism,7.64969,4.73302
Fidelismo,-6.35694,4.63333
Fiscal Conservatism,8.84167,1.55833
Fordism,10.625,8.125
Fourierism,-1.875,-8.125
Fourth International — Posadist,-9.77183,3.30357
Francoist Spain,1.5625,7.5
Freedom Caucus,2.222,-2.222
Free Market Capitalism,6.66667,0
Fully Automated Space Communism,-10.625,4.375
Fundamentalism,8.667,6
Fusionism,6.9375,-6.9375
Futurism,-0.740741,5.13889
Futurist Political Party,-1.58333,4.83333
Gandhism,-5.79167,-4.18849
Gary Snyder,-3.125,-6.875
Gay Nazis,-0.625,6.875
Geniocracy,-1.875,4.375
Geolibertarianism,1.09105,-6.37963
Georgism,0.356481,-5.02199
Green Anarchism,-6.22024,-8.4127
Green Conservatism,2.46875,3.59375
Green Liberalism,-0.95,-3.125
Green Libertarianism,3.125,-4.5
Green Party,-6.5,-5
Guevarism,-7.8125,5
Guild Socialism,-7.8125,-5.46875
Hindutva,2.08333,6.04167
Ho Chi Minh Thought,-6.47396,3.50868
Homonationalism,0.625,9.375
Hoppeans,7.3125,-8.24306
Hoxhaism,-7.5,8.25
Huey Long,-2.93651,4.98016
Hybrid Regime,0,0
Illegalism,5.625,-10.625
Imperialism,8.66898,7.46528
Individualism,4.4375,-7.5625
Individualist Anarchism,2.98485,-8.86742
Individualist Feminism,2.8125,-5
Insurrectionary Anarchism,-5.83333,-8.125
Integralism,0.9375,7.39583
Italian Fascism,1.125,8.875
Jacobinism,-7.08333,3.95833
Jeffersonian Democracy,0.625,0
Juche,-3.3287,9.08218
Kakistocracy,-10.625,-5.625
Kemalism,-2.222,2.222
Keynesianism,3.125,5.625
Khmer Nationalism,-9.375,9.375
Khomeinism,-1.25,6.25
Kleptocracy,4.0625,2.70833
Kokkashugi,5,8.75
Kuomintang,0.3125,3.29861
Labor Movement,-1.45,1.475
Labor Zionism,-1.667,5
Labour Party,-4.444,2.222
Laissez-Faire,5.78333,-2.83333
Left Communism,-8.84375,-1.1875
Left-Libertarianism,-0.573529,-4.69608
Left-Wing,-8,-1
Left-Wing Nationalism,-3.90586,5.06019
Left-Wing Populism,-5.83333,2.35648
Leninism,-8.37073,3.63355
Liberal Autocracy,8.75,8.75
Liberal Catholicism,3,3
Liberal Conservatism,5.78993,2.01562
Liberal Corporatism,4.16667,-1.45833
Liberal Democracy,-0.969444,-0.252778
Liberal Feminism,-4.375,-1.875
Liberal Internationalism,7.5,-1.25
Liberalism,2.4158,-0.432292
Liberal Nationalism,4.375,0.625
Liberal Socialism,-3.5571,-4.06019
Libertarian Christianity,5.625,-6.875
Libertarian Conservatism,7.40895,-0.871914
Libertarianism,4.09314,-4.9281
Libertarianism in the United States,9.375,-3.125
Libertarian Marxism,-8.69444,-6.08333
Libertarian Paternalism,1.25,-3.125
Libertarian Socialism,-6.46142,-6.11111
Luxemburgism,-8.57361,-2.37778
Make America Great Again,6.667,0
Mafia,6.667,-4.444
Maoism,-6.26389,8.27885
Maoism-Third Worldism,-3.125,6.875
Maritime Republics,4.444,-2.222
Market Anarchism,2.38889,-8
Market Socialism,-3.06439,-3.46591
Marxism,-8.79722,-0.808333
Marxism-Leninism,-8.32083,6.84583
Marxism-Leninism-Maoism,-7.39583,4.6875
Marxist Humanism,-5,-1.875
Mercantilism,8.125,5.625
Metaxism,3.125,5.625
Might Makes Right,10.706,10.4977
Mikhail Gorbachev,-3.75,1.875
Military Junta,6.25,8.75
Mixed Economy,0.833333,0
Moderates,0,0
Monarchism,3,8
Monarchy,8.889,8.889
Moralism,2.222,6.667
Mugabeism,-4.74206,6.59524
Municipalism,-5.625,-6.875
Mutualism,-1.15355,-8.58179
National-Anarchism,0.399306,-7.82118
National Bolshevism,-5.70486,9.04051
National Communism,-7.575,7.225
National Conservatism,4.8125,4.40625
National Liberalism,3.35417,0.145833
National Syndicalism,-5,4.16667
Nationalism,2.54167,6.29167
Natural-Rights Libertarianism,5.625,-5.625
Naturism,-3.0625,-7.9375
Nazism,0.528549,8.625
Neo-Capitalism,3.125,4.375
Neoclassical Liberalism,3.33532,-5.8631
Neo-Confederates,8.61111,-1.94444
Neoconservatism,6.45648,3.98704
Neo-Fascism,5.26786,8.72619
Neoliberalism,4.64259,-0.144444
Neo-Libertarianism,6.57812,-4.53125
Neo-Marxism,-5.3125,1.61458
Neo-Nazism,4.375,9.375
Neo-Stalinism,-8.125,8.125
Neozapatismo,-2.8125,-5
New Economic Policy,-5,5
New Labour,3,1
New Left,-1.667,-5
Night-Watchman State,7.2402,-6.80964
Nineteen Eighty-Four,-2,10.4884
Nordic Model,-1.375,-3.08333
Objectivism,7.51852,-6.15741
Old Left,-5,1.667
Oligarchy,1.333,6.16667
One-Nation Conservatism,2.41667,2.5
Ordoliberalism,4.1875,-1.5
Orthodox Marxism,-8.59028,1.67708
Oswald Mosley,3.125,9.375
Paleoconservatism,7.27083,4.77431
Paleolibertarianism,7.41528,-4.53611
Pan-Arabism,1.875,5.625
Pancasila,-3.125,8.125
Pan-Turkism,3.125,5.625
Participatory Democracy,0,-5
Paternalism,2.222,2.222
Paternalistic Conservatism,-1.6,3.25
Philosophical Anarchism,3.125,-8.125
Pinochetism,8.66071,7.19246
Platformism,-4.375,-8.125
Plutocracy,8,-2
Populism,4,-8
Posthumanism,6.5635,-10.625
Postmodernism,-6.667,-6.667
Pre-Marxist Communism,-6.875,-1.875
Progressive Conservatism,2.5,2.5
Progressivism,-1.39141,-1.03283
Propertarianism,8.54167,-6.875
Protectionism,1.875,4.375
Proto-Fascism,3.125,6.875
Queer Anarchism,-5.375,-7.75
Radical Centrism,0.15625,-0.15625
Raëlism,-1.875,4.375
Rainbow Capitalism,5.875,-8.125
Rational Egoism,8.5625,-6.8125
Reactionism,7.8125,5.3125
Reaganism,6.54167,4.41667
Reaganomics,9.375,2.5
Reformism,-0.5625,-1.1875
Religious Democracy,-2.5,3.125
Representative Democracy,0,-3
Republican In Name Only,2.222,0
Republicanism,-6.875,8.125
Republicanism in the United States,6.875,1.875
Right-Libertarianism,6.51736,-3.55903
Right of Conquest,6.667,8.889
Right-Wing Nationalism,6.66667,3.33333
Right-Wing Populism,7.1131,4.40476
Russian Nihilist Movement,0,-10.625
Science,-2.222,0
Secular Liberalism,3.125,-0.625
Sennacieca Asocio Tutmonda,-5.625,-9.375
Situationist International,-8.40278,-6.83333
Social Anarchism,-6.875,-7.8125
Social Conservatism,4.375,2.125
Social Darwinism,10.706,0.208333
Social Democracy,-3.26243,-0.961257
Social Ecology,-4.375,1.875
Social Gospel,-3.09375,2.28125
Socialism,-6.09936,2.91453
Socialism of the 21st Century,-3.75,1.25
Socialist Democracy,-7.5,2.5
Social Liberalism,-0.00992063,-1.2996
Social Marxism,-8,8
Soviet Democracy,0,-8.333
Stalinism,-8.01736,8.83218
State Capitalism,-0.253472,6.03704
State Monopoly Capitalism,9.375,8.125
State Socialism,-5.52778,5.83333
Statism,-3,3.78125
Status Quo,0,0
Strasserism,-5.21296,8.01852
Stratocracy,8.125,9.375
Swiss Democracy,0,-2.222
Syndicalism,-5.77083,-4.21065
Technocracy,-2.33507,5.80729
Technogaianism,-1.875,-1.875
Technoliberalism,1.825,-4.125
Technolibertarianism,3.125,-3.125
Thatcherism,7.5625,4.75
Theocracy,3.65,6.60278
Third International Theory,-5.625,1.875
Third Position,-0.729167,8.85417
Third Way,1.26667,1.12083
Three Principles of the People,1.45833,2.5
Titoism,-4.41358,5.81019
Tory Socialism,1,7
Totalitarianism,-0.8,8.44444
Tradition,2.222,0
Traditionalism,5.30556,5.75
Traditionalist Conservatism,5.34722,3.77083
Transhumanism,2.05556,-1.75
Transhumanists,2.82407,-6.5162
Tribalism,-3.75,-9.375
Tripartism,-0.625,3.125
Trotskyism,-8.4469,1.88399
Trumpism,7.70833,3.95833
Unionism,-3.6875,2.4375
Utopian Socialism,-10.625,-1.875
Voluntaryism,5.45833,-8.57292
War Communism,-8.333,5
Welfare Capitalism,-0.5,-1.61111
Welfare State,-1.667,0
Welfarism,-2.21181,-1.74306
Whiggism,6.875,-3.125
Workers’ Party of Korea,-3.4375,9.375
Xi Jinping Thought,-3.90625,7.1875
Yangism,-3.125,-0.625
Zionism,5.375,3.625
